1258623881	20240820	202408	2024	2024.6301	AUS	AUSTRALIA	AUS								ESP	BARCELONA	ESP								1	051	051	05	1	3.4	2	1	2	1.36645962732919	4	Mountain View, Victoria, Australia	AS	AS07	5414	-38.2667	145.867	-1589169	4	Mountain View, Victoria, Australia	AS	AS07	5414	-38.2667	145.867	-1589169	4	Mountain View, Victoria, Australia	AS	AS07	5414	-38.2667	145.867	-1589169	20250820163000	http://www.prnewswire.com/news-releases/google-and-skylo-expand-satellite-connectivity-to-pixel-10-series-and-unveil-pixel-watch-4-the-worlds-first-smartwatch-with-2-way-satellite-emergency-messaging-302534828.html
1258623900	20250813	202508	2025	2025.6110	ESP	SPANISH	ESP																		1	050	050	05	1	3.5	10	1	10	1.0230179028133	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250820163000	https://www.caughtoffside.com/2025/08/20/renato-veiga-transfer-villarreal/
1258623901	20250813	202508	2025	2025.6110	ESP	SPAIN	ESP																		0	050	050	05	1	3.5	2	1	2	1.0230179028133	1	Portugal	PO	PO		39.5	-8	PO	0								1	Portugal	PO	PO		39.5	-8	PO	20250820163000	https://www.caughtoffside.com/2025/08/20/renato-veiga-transfer-villarreal/
1258623902	20250813	202508	2025	2025.6110	GOV	PRESIDENT						GOV			USA	UNITED STATES	USA								1	040	040	04	1	1.0	4	1	4	1.51362260343088	2	Alaska, United States	US	USAK		61.385	-152.268	AK	3	Anchorage, Alaska, United States	US	USAK	AK020	61.2181	-149.9	1398242	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20250820163000	https://alaska-native-news.com/sullivan-on-face-the-nation-alaska-is-the-center-of-americas-security-energy-and-arctic-future/80248/
1258623903	20250813	202508	2025	2025.6110	LEG	SENATOR						LEG			USA	ALASKA	USA								1	040	040	04	1	1.0	3	1	3	1.51362260343088	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20250820163000	https://alaska-native-news.com/sullivan-on-face-the-nation-alaska-is-the-center-of-americas-security-energy-and-arctic-future/80248/
1258623904	20250813	202508	2025	2025.6110	LEG	SENATOR						LEG			USA	UNITED STATES	USA								1	046	046	04	1	7.0	2	1	2	1.51362260343088	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20250820163000	https://alaska-native-news.com/sullivan-on-face-the-nation-alaska-is-the-center-of-americas-security-energy-and-arctic-future/80248/
1258623905	20250813	202508	2025	2025.6110	RUSGOV	VLADIMIR PUTIN	RUS					GOV			USA	UNITED STATES	USA								1	040	040	04	1	1.0	1	1	1	-1.3009540329575	1	Ukraine	UP	UP		49	32	UP	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	1	Ukraine	UP	UP		49	32	UP	20250820163000	https://newrepublic.com/article/199319/transcript-trump-press-sec-fury-media-erupts-putin-mess-grows
1258623906	20250813	202508	2025	2025.6110	UKRGOV	UKRAINIAN	UKR					GOV			USA	ALASKA	USA								0	040	040	04	1	1.0	6	2	6	-0.127232020085345	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	2	Alaska, United States	US	USAK		61.385	-152.268	AK	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20250820163000	https://www.prokerala.com/news/articles/a1666030.html
1258623907	20250813	202508	2025	2025.6110	USA	UNITED STATES	USA																		0	015	015	01	1	0.0	4	1	4	1.01010101010101	3	Hawthorne Country Club, Massachusetts, United States	US	USMA	MA005	41.6159	-70.9831	599711	0								3	Hawthorne Country Club, Massachusetts, United States	US	USMA		41.6159	-70.9831	599711	20250820163000	http://www.eastbayri.com/stories/planners-say-housing-should-be-considered-at-old-whs,133567
1258623908	20250813	202508	2025	2025.6110	USA	UNITED STATES	USA								COP	POLICE						COP			1	020	020	02	1	3.0	2	1	2	-6.9078947368421	3	Cook County, Illinois, United States	US	USIL	IL031	41.8334	-87.8501	1784766	3	Cook County, Illinois, United States	US	USIL		41.8334	-87.8501	1784766	3	Cook County, Illinois, United States	US	USIL		41.8334	-87.8501	1784766	20250820163000	https://www.chicagotribune.com/2025/08/20/bullet-officer-krystal-rivera-autopsy/
1258623909	20250813	202508	2025	2025.6110	USA	SOUTH CAROLINA	USA								COP	TROOPER						COP			1	042	042	04	1	1.9	6	1	6	-0.15822784810126	3	West Florence High School, South Carolina, United States	US	USSC	SC041	34.1949	-79.824	1242242	3	West Florence High School, South Carolina, United States	US	USSC		34.1949	-79.824	1242242	3	West Florence High School, South Carolina, United States	US	USSC		34.1949	-79.824	1242242	20250820163000	https://www.live5news.com/2025/08/20/sc-trooper-killed-orangeburg-crash-be-laid-rest-wednesday-morning/
1258623910	20250813	202508	2025	2025.6110	USA	UNITED STATES	USA								COP	TROOPER						COP			1	042	042	04	1	1.9	4	1	4	-0.15822784810126	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20250820163000	https://www.live5news.com/2025/08/20/sc-trooper-killed-orangeburg-crash-be-laid-rest-wednesday-morning/
1258623911	20250813	202508	2025	2025.6110	USA	UNITED STATES	USA								LEG	CHAMBER						LEG			1	013	013	01	1	0.4	4	1	4	-3.32369942196532	2	Washington, United States	US	USWA		47.3917	-121.571	WA	2	Washington, United States	US	USWA		47.3917	-121.571	WA	2	Washington, United States	US	USWA		47.3917	-121.571	WA	20250820163000	http://www.chronline.com/stories/should-washington-state-test-human-waste-fertilizer-for-pfas,385683
1258623912	20250813	202508	2025	2025.6110	USA	ALASKA	USA								LEG	SENATOR						LEG			1	040	040	04	1	1.0	3	1	3	1.51362260343088	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20250820163000	https://alaska-native-news.com/sullivan-on-face-the-nation-alaska-is-the-center-of-americas-security-energy-and-arctic-future/80248/
1258623913	20250813	202508	2025	2025.6110	USA	UNITED STATES	USA								LEG	SENATOR						LEG			1	046	046	04	1	7.0	2	1	2	1.51362260343088	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20250820163000	https://alaska-native-news.com/sullivan-on-face-the-nation-alaska-is-the-center-of-americas-security-energy-and-arctic-future/80248/
1258623914	20250813	202508	2025	2025.6110	USA	UNITED STATES	USA								RUSGOV	VLADIMIR PUTIN	RUS					GOV			1	040	040	04	1	1.0	1	1	1	-1.3009540329575	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20250820163000	https://newrepublic.com/article/199319/transcript-trump-press-sec-fury-media-erupts-putin-mess-grows
1258623915	20250813	202508	2025	2025.6110	USA	ALASKA	USA								UKRGOV	UKRAINIAN	UKR					GOV			0	040	040	04	1	1.0	6	2	6	-0.127232020085345	2	Alaska, United States	US	USAK		61.385	-152.268	AK	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20250820163000	https://www.prokerala.com/news/articles/a1666030.html
1258623916	20250819	202508	2025	2025.6274											USA	SOUTH CAROLINA	USA								1	057	057	05	1	8.0	7	1	7	0.884955752212385	0								2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20250820163000	https://techcrunch.com/2025/08/20/meta-to-add-100-mw-of-solar-power-from-u-s-gear/
1258623917	20250819	202508	2025	2025.6274	BHS	BAHAMA	BHS								GOV	PRESIDENT						GOV			1	010	010	01	1	0.0	2	1	2	-1.19760479041917	1	Bahamas, The	BF	BF		24	-76	BF	1	Bahamas, The	BF	BF		24	-76	BF	1	Bahamas, The	BF	BF		24	-76	BF	20250820163000	https://www.tribune242.com/news/2025/aug/20/tuc-threatens-national-strike/
1258623918	20250819	202508	2025	2025.6274	USA	SOUTH CAROLINA	USA																		1	057	057	05	1	8.0	7	1	7	0.884955752212385	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	0								2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20250820163000	https://techcrunch.com/2025/08/20/meta-to-add-100-mw-of-solar-power-from-u-s-gear/
1258623919	20250820	202508	2025	2025.6301											AFR	AFRICA	AFR								1	043	043	04	1	2.8	1	1	1	-1.61290322580645	0								4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250820163000	https://www.express.co.uk/news/uk/2097949/these-scumbags-our-streets-are
1258623920	20250820	202508	2025	2025.6301											AFR	AFRICA	AFR								0	045	045	04	1	5.0	10	1	10	-3.64583333333334	0								1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	20250820163000	https://www.graphic.com.gh/news/general-news/solid-waste-association-of-ghana-hosts-international-conference-to-tackle-waste-management-challenges.html
1258623921	20250820	202508	2025	2025.6301											AUS	NORTHERN TERRITORY	AUS								0	051	051	05	1	3.4	10	1	10	3.54767184035477	0								5	Northern Territory, Northern Territory, Australia	AS	AS03	40197	-20	134	-1592100	5	Northern Territory, Northern Territory, Australia	AS	AS03	40197	-20	134	-1592100	20250820163000	https://www.pv-magazine.com/2025/08/20/australia-funds-solar-microgrids-to-replace-diesel-in-remote-first-nations-towns/
1258623922	20250820	202508	2025	2025.6301											BGD	BANGLADESH	BGD								0	040	040	04	1	1.0	1	1	1	-1.10429447852761	0								4	Jamuna, Bangladesh (general), Bangladesh	BG	BG00	5811	25.1	89	-2722569	4	Jamuna, Bangladesh (general), Bangladesh	BG	BG00	5811	25.1	89	-2722569	20250820163000	https://www.bssnews.net/at-a-glance/303285
1258623923	20250820	202508	2025	2025.6301											BGD	HABIGANJ	BGD								0	0841	084	08	2	7.0	8	1	8	-4.79704797047971	0								4	Habiganj, Sylhet, Bangladesh	BG	BG86	5821	24.3833	91.4167	-2737745	4	Habiganj, Sylhet, Bangladesh	BG	BG86	5821	24.3833	91.4167	-2737745	20250820163000	https://www.bssnews.net/others/303647
1258623924	20250820	202508	2025	2025.6301											BMU	BERMUDA	BMU								0	042	042	04	1	1.9	10	1	10	7.86802030456853	0								1	Bermuda	BD	BD		32.333333	-64.75	BD	1	Bermuda	BD	BD		32.333333	-64.75	BD	20250820163000	https://www.royalgazette.com/education/news/article/20250820/mjm-law-firm-gives-two-students-20000-for-university/
1258623925	20250820	202508	2025	2025.6301											BMU	BERMUDA	BMU								0	070	070	07	2	7.0	10	1	10	7.86802030456853	0								1	Bermuda	BD	BD		32.333333	-64.75	BD	1	Bermuda	BD	BD		32.333333	-64.75	BD	20250820163000	https://www.royalgazette.com/education/news/article/20250820/mjm-law-firm-gives-two-students-20000-for-university/
1258623926	20250820	202508	2025	2025.6301											BUS	COMPANY						BUS			1	020	020	02	1	3.0	4	1	4	0.46082949308756	0								4	Turing, Xizang, China	CH	CH14	13301	31.1	86	11324302	4	Turing, Xizang, China	CH	CH14	13301	31.1	86	11324302	20250820163000	https://www.ecoportal.net/en/chinas-bold-ai-driven-cars/11804/
1258623927	20250820	202508	2025	2025.6301											BUS	INDUSTRY						BUS			0	042	042	04	1	1.9	5	1	5	2.64650283553875	0								4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20250820163000	http://www.prnewswire.com/news-releases/travel-with-awestruck-announces-former-mckinsey-manager-as-chief-growth-officer-amidst-industry-shift-302533140.html
1258623928	20250820	202508	2025	2025.6301											BUS	COMPANY						BUS			0	042	042	04	1	1.9	5	1	5	2.97918162239771	0								4	Abitibi, Canada (general), Canada	CA	CA00	12791	48	-76	-576358	4	Abitibi, Canada (general), Canada	CA	CA00	12791	48	-76	-576358	20250820163000	https://www.juniorminingnetwork.com/junior-miner-news/press-releases/2494-tsx-venture/mgm/185818-maple-gold-announces-5-million-non-brokered-private-placement-led-by-strategic-investor-michael-gentile-and-provides-corporate-update.html
1258623929	20250820	202508	2025	2025.6301											CAN	CANADA	CAN								1	042	042	04	1	1.9	4	1	4	6.77764565992866	0								4	Grand Narrows, Nova Scotia, Canada	CA	CA07	12636	45.95	-60.7833	-565494	4	Cape Breton, Nova Scotia, Canada	CA	CA07	12622	45.95	-59.7833	-561613	20250820163000	https://www.saltwire.com/cape-breton/grand-narrows-festival-will-celebrate-community-connections-in-unamaki
1258623930	20250820	202508	2025	2025.6301											CAN	CANADA	CAN								1	042	042	04	1	1.9	2	1	2	6.77764565992866	0								4	Grand Narrows, Nova Scotia, Canada	CA	CA07	12636	45.95	-60.7833	-565494	4	Grand Narrows, Nova Scotia, Canada	CA	CA07	12636	45.95	-60.7833	-565494	20250820163000	https://www.saltwire.com/cape-breton/grand-narrows-festival-will-celebrate-community-connections-in-unamaki
1258623931	20250820	202508	2025	2025.6301											CAN	CANADA	CAN								1	042	042	04	1	1.9	1	1	1	3.52	0								4	Kamloops, British Columbia, Canada	CA	CA02	12566	50.6667	-120.333	-566975	4	Kamloops, British Columbia, Canada	CA	CA02	12566	50.6667	-120.333	-566975	20250820163000	https://www.rcrwireless.com/20250820/ai-infrastructure/buzz-bell-ai
1258623932	20250820	202508	2025	2025.6301											CAN	CANADIAN	CAN								1	042	042	04	1	1.9	3	1	3	-0.14853323431118	0								1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	20250820163000	https://bitcoinmagazine.com/print/bitcoin-jungle-lightning-to-fiat-payments
1258623933	20250820	202508	2025	2025.6301											CAN	CANADA	CAN								1	043	043	04	1	2.8	5	1	5	2.50391236306729	0								4	Waterloo, Ontario, Canada	CA	CA08	12688	43.4667	-80.5333	-575624	4	Waterloo, Ontario, Canada	CA	CA08	12688	43.4667	-80.5333	-575624	20250820163000	https://www.stalbertgazette.com/beyond-local/icy-initiative-allowing-visitors-to-help-monitor-glaciers-in-canadian-parks-11099921
1258623934	20250820	202508	2025	2025.6301											CAN	CANADIAN	CAN								1	051	051	05	1	3.4	3	1	3	-0.14853323431118	0								1	Canada	CA	CA		60	-96	CA	4	Uvita, Provincia de Puntarenas, Costa Rica	CS	CS07	14543	9.15232	-83.7565	-1109822	20250820163000	https://bitcoinmagazine.com/print/bitcoin-jungle-lightning-to-fiat-payments
1258623935	20250820	202508	2025	2025.6301											CHN	CHINA	CHN								0	061	061	06	2	6.4	1	1	1	-1.32013201320132	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20250820163000	https://www.dw.com/en/germany-japan-boost-defense-ties-amid-chinas-growing-clout/a-73708576
1258623936	20250820	202508	2025	2025.6301											COP	LAW ENFORCEMENT AGENCIES						COP			1	014	014	01	1	0.0	1	1	1	-8.89830508474577	0								3	Norristown, Pennsylvania, United States	US	USPA	PA091	40.1215	-75.3399	1213641	3	Folcroft, Pennsylvania, United States	US	USPA	PA045	39.8909	-75.2838	1174928	20250820163000	https://www.pottsmerc.com/2025/08/20/police-escaped-prisoner-was-being-taken-to-jail-after-entering-vehicles-in-haverford/
1258623937	20250820	202508	2025	2025.6301											COP	LAW ENFORCEMENT AGENCIES						COP			1	014	014	01	1	0.0	1	1	1	-8.89830508474577	0								3	Norristown, Pennsylvania, United States	US	USPA	PA091	40.1215	-75.3399	1213641	3	Delaware County, Pennsylvania, United States	US	USPA		40.0004	-75.3749	1209177	20250820163000	https://www.pottsmerc.com/2025/08/20/police-escaped-prisoner-was-being-taken-to-jail-after-entering-vehicles-in-haverford/
1258623938	20250820	202508	2025	2025.6301											COP	LAW ENFORCEMENT AGENCIES						COP			1	014	014	01	1	0.0	3	1	3	-8.89830508474577	0								3	Norristown, Pennsylvania, United States	US	USPA	PA091	40.1215	-75.3399	1213641	3	Norristown, Pennsylvania, United States	US	USPA	PA091	40.1215	-75.3399	1213641	20250820163000	https://www.pottsmerc.com/2025/08/20/police-escaped-prisoner-was-being-taken-to-jail-after-entering-vehicles-in-haverford/
1258623939	20250820	202508	2025	2025.6301											COP	POLICE FORCE						COP			1	042	042	04	1	1.9	2	1	2	-10.0917431192661	0								4	Thana, Maharashtra, India	IN	IN16	70183	19.2	72.9667	-2112952	4	Thana, Maharashtra, India	IN	IN16	70183	19.2	72.9667	-2112952	20250820163000	https://www.prokerala.com/news/articles/a1666025.html
1258623940	20250820	202508	2025	2025.6301											COP	POLICE						COP			1	043	043	04	1	2.8	10	1	10	-2.39520958083832	0								2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20250820163000	https://www.wnem.com/2025/08/20/search-continues-missing-man-car-spotted-outside-saginaw/
1258623941	20250820	202508	2025	2025.6301											COP	TROOPER						COP			1	090	090	09	2	-2.0	2	1	2	-8.89830508474577	0								3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	20250820163000	https://www.pottsmerc.com/2025/08/20/police-escaped-prisoner-was-being-taken-to-jail-after-entering-vehicles-in-haverford/
1258623942	20250820	202508	2025	2025.6301											COP	TROOPER						COP			1	090	090	09	2	-2.0	3	1	3	-8.89830508474577	0								3	Delaware County, Pennsylvania, United States	US	USPA		40.0004	-75.3749	1209177	3	Delaware County, Pennsylvania, United States	US	USPA		40.0004	-75.3749	1209177	20250820163000	https://www.pottsmerc.com/2025/08/20/police-escaped-prisoner-was-being-taken-to-jail-after-entering-vehicles-in-haverford/
